OrderId,lat,lng
702-1647859-5503459,43.6750474,-79.7359565
701-9864332-2959406,53.4094529,-113.5315518
701-3804203-4209000,49.1961891,-121.9460398
702-9519661-3342661,52.2690914,-113.8106896
702-4822440-1120209,42.6923933,-80.610489
702-7102467-1925037,49.1123712,-122.8102192
702-1499732-6961010,43.093452,-82.00256259999999
701-1730384-7887422,49.1550837,-123.1248312
701-3520741-3823449,51.583758,-119.7503229
701-5372995-4547464,49.3250812,-123.1100499
702-3353221-5388241,45.4810926,-73.837653
701-6292300-3849853,42.7599872,-81.1602788
701-3573298-5121063,48.4636485,-68.5123289
702-1373471-4245801,44.3007557,-80.0180214
701-0684694-8659426,49.2735894,-123.1171585
701-1846887-9567459,43.8385021,-79.62354069999999
701-9683488-2727444,58.187466,-116.4069991
701-1560243-8481856,46.1119819,-64.7269574
702-8322839-3667456,52.3259301,-106.593619
701-1748718-0777821,48.7702227,-123.4425437
701-6122994-5360226,49.761013,-94.55317090000001
702-9337593-7644257,46.6499469,-80.98740370000002
701-9878936-9717804,46.0285851,-73.4499872
701-0769105-7137822,43.6513147,-79.4768922
701-8233798-8937852,46.5394965,-84.3598375
702-2899471-4517053,50.4050733,-104.5967786
701-6177689-1315413,44.2134024,-79.46590599999999
701-9692382-4057816,45.39368899999999,-63.36623129999999
702-1204285-8018617,49.2671131,-122.7698177
701-4810225-4397042,44.3369141,-79.7208824
701-6059300-6700261,47.992417,-84.77105879999999
701-1402092-6229817,53.2813732,-110.018338
701-4819456-4110636,46.4620355,-81.0195217
701-3512375-3417811,56.7484401,-111.4754182
702-2618173-9944255,42.1308219,-82.74473689999999
702-5783691-2856215,49.694773,-112.8332329
702-0684508-1671414,50.746925,-118.498683
702-0693996-4066605,42.8691197,-80.7183232
702-2486328-9361837,48.9526902,-54.6139306
701-4378905-2665019,49.6699421,-96.6465498
702-9713484-2249824,53.5475498,-113.4178756
702-5332975-5189830,50.4380866,-100.5907301
702-8120693-7960203,46.2360394,-63.12799009999999
702-7553718-6380267,44.9072734,-77.2753256
701-3362771-9288259,44.3246078,-79.8982793
702-3677592-2430664,43.8508325,-79.4990363
702-3146702-4786650,51.0916882,-114.0727476
702-9963137-3181829,49.3185023,-123.0781061
702-9122073-6669011,53.54969819999999,-113.556857
701-9212803-4512240,44.4196548,-79.7015978
701-8351280-0253032,44.54367149999999,-80.5549561
702-4398974-2402621,51.3474,-102.7425629
701-6951195-9030615,45.58929149999999,-73.4048675
702-5316250-7732225,44.36109150000001,-79.6458246
701-6289570-9196237,45.6127229,-62.0140056
701-8590871-1535426,46.896612,-71.13541300000001
702-3674165-4243469,49.1685727,-122.7998126
702-4079127-7997024,43.5914503,-80.5783886
702-4852546-9977062,45.8122322,-64.215849
702-8409941-7893812,45.5602799,-62.66584109999999
702-8940617-7903436,44.9624157,-63.5137453
701-5066073-0569857,49.9883403,-125.243392
701-0656257-4169843,43.4481217,-80.5008623
701-1152921-1709833,45.55305240000001,-73.6108046
701-5196129-3197804,46.2999749,-79.45398469999999
702-7096044-2093869,43.640585,-79.38087259999999
